Entity,n_observed_edges
'de_Marcel_Rudloff',1
'de_Michel_Giraud',1
'de_Pierre-Christian_Taittinger',1
'eA._Bhimsingh',1
'eA._P._J._Abdul_Kalam',1
"'eAElfthryth,_wife_of_Edgar'",1
'eAEthelwulf_of_Wessex',1
'eAaron_Spelling',1
'eAbby_Aldrich_Rockefeller',5
'eAbdallah_Farhat',1
'eAbdallah_Kallel',3
'eAbderrahmane_Youssoufi',2
'eAbdou_Diouf',1
'eAbdulaziz',1
'eAbdullah_Ahmad_Badawi',1
'eAbdullah_Gul',1
'eAbdullah_of_Saudi_Arabia',1
'eAbdulmecid_I',5
'eAbdulmecid_II',1
'eAbigail_Adams',1
'eAbraham_Lincoln',2
'eAcamapichtli',1
'eAdam_Cheng',1
'eAdam_Kazimierz_Czartoryski',1
"'eAdela_of_France,_Countess_of_Flanders'",2
'eAdelaide-Blanche_of_Anjou',2
'eAdelaide_of_Aquitaine',2
'eAdelaide_of_Austria',4
'eAdelaide_of_Italy',1
'eAdelaide_of_Lowenstein-Wertheim-Rosenberg',2
'eAdelaide_of_Maurienne',3
'eAdelaide_of_Meissen',1
'eAdelaide_of_Susa',2
'eAdele_of_Champagne',2
"'eAdele_of_France,_Countess_of_Flanders'",1
'eAdlai_Stevenson_II',1
'eAdolf_Frederick_of_Sweden',2
'eAdolf_Hitler',2
'eAdolf_III_of_the_Marck',1
'eAdolf_Ogi',1
'eAdolfo_Suarez',1
"'eAdolphe,_Grand_Duke_of_Luxembourg'",1
'eAdolphe_Thiers',3
'eAdone_Zoli',1
'eAdrienne_Clarkson',1
'eAfonso_Costa',5
'eAfonso_II_of_Portugal',1
'eAfonso_IV_of_Portugal',1
'eAfonso_I_of_Portugal',2
'eAgnes_of_Antioch',2
'eAgnes_of_Babenberg',2
"'eAgnes_of_Burgundy,_Duchess_of_Aquitaine'",1
'eAgnes_of_Courtenay',1
"'eAgnes_of_France,_Duchess_of_Burgundy'",1
'eAgnes_of_Germany',4
'eAgnes_of_Merania',2
'eAgnes_of_Poitou',3
'eAgostino_Depretis',1
'eAgrippina_the_Elder',2
'eAgrippina_the_Younger',1
'eAhmad_Tejan_Kabbah',1
'eAhmadou_Ahidjo',1
'eAhmed_I',1
'eAhmed_III',1
'eAhmose-Nefertari',1
'eAhmose_I',1
'eAigars_Kalvitis',1
'eAkkineni_Nageswara_Rao',1
'eAl_Gore',2
'eAlain_Joyandet',1
'eAlain_Juppe',10
'eAlain_Peyrefitte',3
'eAlain_Poher',4
'eAlain_Savary',2
'eAlan_Garcia',2
'eAlan_Greenspan',1
"'eAlan_Hale,_Sr.'",1
'eAlan_Johnson',1
"'eAlbert,_Duke_in_Prussia'",1
"'eAlbert,_King_of_Sweden'",1
"'eAlbert,_Prince_Consort'",7
'eAlbert_Deveze',1
'eAlbert_Francois_Lebrun',3
"'eAlbert_Frederick,_Duke_of_Prussia'",1
"'eAlbert_I,_Duke_of_Bavaria'",1
"'eAlbert_II,_Duke_of_Austria'",3
"'eAlbert_III,_Duke_of_Austria'",1
"'eAlbert_III,_Duke_of_Bavaria'",1
"'eAlbert_III,_Duke_of_Saxony'",2
'eAlbert_II_of_Belgium',3
'eAlbert_II_of_Germany',2
'eAlbert_I_of_Belgium',2
'eAlbert_I_of_Germany',3
'eAlbert_Sarraut',2
"'eAlbert_V,_Duke_of_Bavaria'",3
"'eAlbert_VII,_Archduke_of_Austria'",3
'eAlbert_of_Saxony',1
'eAlberto_Fujimori',1
'eAlberto_Lleras_Camargo',2
'eAlberto_Ruiz-Gallardon',3
"'eAlbrecht_III_Achilles,_Elector_of_Brandenburg'",2
'eAlcide_De_Gasperi',2
'eAldo_Moro',3
'eAlec_Douglas-Home',1
'eAlejandro_Toledo',1
